enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2252835,A10Q3RB42040222A,ASSOCIAÇÃO RAUL DÓRIA,Quadro Móvel Rotativo Dupla Face Branco (TP Rb42) 150x45x200cm - R7035,9,,
ENC-A-2260102,A10ERGOS06S0R24A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Cadeira ERGOS 06 - 50x50x46cm - (P)2169C,36,,
ENC-A-2253148,A10ERGOS05S0122A,AGRUPAMENTO DE ESCOLAS SÁ DA BANDEIRA,Cadeira ERGOS 05 - 50x50x43cm - (P)661,70,,
ENC-A-2253205,A10ERGOS05S0122A,MUNICÍPIO DE BENAVENTE,Cadeira ERGOS 05 - 50x50x43cm - (P)661,37,,
ENC-A-2252961,A19AR0000379Q23A,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",Módulo Balcão c/ Gavetas 600x600x1000mm - TPreto [M2.412.B04],1,,
ENC-A-2252961,A19AR0000377Q23A,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",Módulo Balcão Expositor c/ Prateleira 1200x600x1000mm - TPreto [M2.411.B02],1,,
ENC-A-2252961,A19AR0000375Q21A,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",Armário Fechado Baixo (Gavetas) 1200x600x800mm - TBranco [M3.112.B05],2,,
ENC-A-2252961,A19AR0000374Q21A,"TPS-TEIXEIRA, PINTO & SOARES, S.A.",Armário Fechado Baixo 1200x600x800mm - T Branco [M3.112.B04],2,,
ENC-A-2253315,A10ATBR300S0626A,AGRUPAMENTO DE ESC. D. AFONSO HENRIQUES,Bloco 3 Gavetas 43x53x60cm - (Me)Faia,1,,
ENC-A-2260102,A10ATBR300S1766A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Bloco 3 Gavetas 44x53x60cm - (Me)Cinza Claro,9,,
ENC-A-2260053,A10Q3FA06100L55A,MUNICÍPIO DE ALCANENA,Mesa Individual EDGE s/Acess. 75x60x76cm (TE c/ Nivelador) - T166/R7035/(P)427,6,,
ENC-A-2260082,A10ATCA120S0766A,EDUCHIADO LDA,Armário Fechado c/ 12 Cacifos 100x43.5x185cm - (Me)Cinza Claro,12,,
ENC-A-2260102,A10ATCA120S0766A,"AG. ESCOLAS BAIXA BANHEIRA, VALE AMOREIRA, MOITA",Armário Fechado c/ 12 Cacifos 100x43.5x185cm - (Me)Cinza Claro,2,,
ENC-A-2253402,A10ERSPCR0S0Q48B,ESCOLA SECUNDÁRIA EÇA DE QUEIROZ,Cadeira ERGOS SHELL Pé Central c/Repousa Pés 63x63x65-89cm - (P)406,10,,
ENC-A-2260082,A10ATOM816S0598A,EDUCHIADO LDA,"Secretária ""O5"" 160x80x74cm - (Me)Cinza Claro/R7035",2,,
ENC-A-2260082,A10Q3FE06030598A,EDUCHIADO LDA,Mesa Circular Atlantic Ø120x73cm - (Me)Cinza Claro/R7035,2,,
ENC-A-2260082,A10ATPB200S0598B,EDUCHIADO LDA,Armário Portas Batentes c/Prateleiras (2) 100x44x110cm - (Me)Cinza Claro/R7035,4,,
ENC-A-2253241,A10ATPB300S0C84A,AGRUP. DE ESCOLAS DA PÓVOA DE SANTA IRIA,Armário Portas Batentes c/ Prateleiras (3) 100x44x149cm - (Me)Branca/R9016,2,,
ENC-A-2260030,A10ATPCR0001409A,INSTITUTO POLITÉCNICO DE CASTELO BRANCO,"Passa-cabos Retangular c/Tampa 27,7x11cm - R9016",26,,
ENC-A-2260030,A10ATPCR0001409A,INSTITUTO POLITÉCNICO DE CASTELO BRANCO,"Passa-cabos Retangular c/Tampa 27,7x11cm - R9016",10,,
